"","year2011","year2012","year2013","year2014","year2015"
"Action",0.057518327875,0.0488072866571429,0.0463757070238095,0.0348356106481481,0.0375561961632653
"Adventure",0.0680239175581395,0.0499512520344828,0.0407497486842105,0.0243969480697674,0.0306523782325581
"Animation",0.0125968141176471,0.02118744825,0.0306362048571429,0.0228326903,0.02177509
"Biography",0.0865914767272727,0.0103566638333333,0.0390237203333333,0.0596348182727273,0.0592837752
"Comedy",0.0764338776626506,0.0469757082962963,0.064944852245614,0.0756628883692308,0.05787963692
"Crime",0.0769013212083333,0.0465394568095238,0.09716897809375,0.0460496952592593,0.0650300890666667
"Documentary",NA,0.061921329,NA,NA,NA
"Drama",0.0855217224845361,0.0612756423928571,0.084140591525,0.0678826945446429,0.0607848971553398
"Family",0.0673978691333333,0.0355189633333333,0.0684900368571429,0.046663017,0.0154347595714286
"Fantacy",0.0922451891111111,0.0594656579166667,0.0739934894166667,0.0373901000833333,0.07007661575
"History",0.008651403,0,0.021077558,0.068520728,0.0844850696666667
"Horror",0.0728738322857143,0.0389268447142857,0.028264529,0.0145819993333333,0.0254643650714286
"Music",0.014123631,0.0833929035454545,0.045238927,0.0505932963333333,0.0636497456363636
"Mystery",0.122177277421053,0.0290725913636364,0.1444958794,0.0602425887777778,0.0281717510833333
"Romance",0.0874268060833333,0.0740442713793103,0.12641730536,0.0874145185454545,0.07131674655
"Sci_Fi",0.0365064698,0.0493746707647059,0.0476016461764706,0.02648963,0.0604644683157895
"Sport",0.068275638,0.0446736135,0.0805710893333333,0.0701561318333333,0.077703522
"Thriller",0.0461999828571429,0.0338077425277778,0.0373553786666667,0.0511803375625,0.0282199716551724
"War",0.0397858426666667,0.0238288823333333,0.016618263,0.0714411242,0.07738211875
"Western",0.042981375,0.0315351845,0.004167656,0.1813226635,NA
