"","year2011","year2012","year2013","year2014","year2015"
"Action",3,3.25714285714286,3.88095238095238,2.98148148148148,3.46938775510204
"Adventure",5.32558139534884,3,6.34210526315789,4.25581395348837,4.44186046511628
"Animation",7.47058823529412,4,12.0714285714286,5.6,5.6
"Biography",2.18181818181818,2.16666666666667,2.86666666666667,3.31818181818182,3.84
"Comedy",5.80722891566265,2.85185185185185,7.08771929824561,4.21538461538462,4.17333333333333
"Crime",2.75,2.66666666666667,5.09375,3.14814814814815,3.1
"Documentary",NA,2.5,NA,NA,NA
"Drama",3.61855670103093,2.03571428571429,3.4,2.66071428571429,3.23300970873786
"Family",6.33333333333333,2.86666666666667,5.85714285714286,3.45454545454545,6.14285714285714
"Fantacy",4.72222222222222,2.33333333333333,4.08333333333333,1.91666666666667,4.125
"History",0.5,0.5,1,5.75,5.5
"Horror",1.07142857142857,2.35714285714286,3.41176470588235,0.666666666666667,2
"Music",5,1.18181818181818,6.83333333333333,2.88888888888889,2.54545454545455
"Mystery",1.42105263157895,2.81818181818182,2.6,2,2.66666666666667
"Romance",3.94444444444444,2.27586206896552,4.88,3.48484848484848,3.3
"Sci_Fi",2.15,3.17647058823529,3.64705882352941,2.5,2.73684210526316
"Sport",1.5,4.25,2.33333333333333,2,2.85714285714286
"Thriller",2.37142857142857,2.69444444444444,2.63333333333333,2.40625,2.13793103448276
"War",1.66666666666667,1,2,6,2.75
"Western",8,2.5,7,2.5,NA
