"","2011","2012","2013","2014","2015"
"Action",48,35,42,54,49
"Adventure",43,29,38,43,43
"Animation",17,8,14,10,15
"Biography",11,6,15,22,25
"Comedy",83,54,57,65,75
"Crime",24,21,32,27,30
"Documentary",0,2,0,0,0
"Drama",97,56,80,112,103
"Family",15,15,7,11,7
"Fantacy",18,24,12,12,8
"History",2,4,1,4,6
"Horror",14,14,17,15,14
"Music",1,11,6,9,11
"Mystery",19,11,10,18,12
"Romance",36,29,25,33,20
"Sci_Fi",20,17,17,18,19
"Sport",4,4,3,6,7
"Thriller",35,36,30,32,29
"War",3,3,1,5,4
"Western",1,2,1,2,0
