genre,year2011,year2012,year2013,year2014,year2015
Action,76883750,93796579.97,92544523.81,97235555.56,101352244.9
Adventure,98039302.33,155381898.7,138684736.8,122333255.8,136765348.8
Animation,88518235.29,143267375.5,132535714.3,120801000,111517333.3
Biography,20833636.36,58712864,55659333.33,46145909.09,25494400
Comedy,46486024.1,63998918.02,67208947.37,45910461.54,45769466.67
Crime,46783333.33,44703042.43,56310000,43431481.48,42459666.67
Documentary,0,27658818,0,0,0
Drama,33805463.92,65316874.21,32119125,32554821.43,29044466.02
Family,57686000,111171862.7,66391428.57,71866363.64,110315714.3
Fantacy,89130555.56,122103394.3,117147500,53459166.67,164782500
History,2905000,115955048.3,56670000,29387500,21826666.67
Horror,31865000,38200784.71,49287647.06,26458000,26597857.14
Music,51780000,48234374.91,8536666.667,20773333.33,27624545.45
Mystery,49690000,52263471.45,92175000,42286666.67,25435833.33
Romance,34061111.11,60474926.9,20555600,26708484.85,26480500
Sci_Fi,82494500,119325759.5,98455294.12,151905000,121501578.9
Sport,25902500,24796672.75,42553333.33,37591666.67,40934285.71
Thriller,40372000,67782073.14,49657333.33,47032812.5,63905517.24
War,27330000,99867804.67,21480000,34564000,7470000
Western,1390000,84349943,89290000,22525000,0
