,id,header,genre,director,star,gross,director,company,# of faces/characters,# of main recognizable stars,num_face_machine,face_poster_proportion
21,2011021,Super 8,"Mystery, Sci-Fi, Thriller",J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney",126980000,1,1,0,0,1,0.020979259
22,2011022,Rango,"Animation, Adventure, Comedy",Gore Verbinski,"Johnny Depp, Isla Fisher, Timothy Olyphant, Abigail Breslin",123210000,1,1,14,2,0,0
23,2011023,Horrible Bosses,"Comedy, Crime",Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe",117530000,0,1,6,6,10,0.361153903
24,2011024,Green Lantern,"Action, Adventure, Sci-Fi",Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong",116590000,0,1,5,3,1,0.015423269
25,2011025,Hop,"Animation, Adventure, Comedy",Tim Hill,"Russell Brand, James Marsden, Elizabeth Perkins, Kaley Cuoco",108010000,1,1,37,1,2,0.013714074
26,2011026,Paranormal Activity 3,Horror,"Henry Joost, Ariel Schulman","Chloe Csengery, Jessica Tyler Brown, Christopher Nicholas Smith, Lauren Bittner",104010000,0,1,2,0,0,0
27,2011027,Just Go with It,"Comedy, Romance",Dennis Dugan,"Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman",103030000,0,0,2,2,1,0.01891647
28,2011028,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsg<U+00E5>rd",102520000,0,1,2,2,5,0.570418398
29,2011029,Bad Teacher,Comedy,Jake Kasdan,"Cameron Diaz, Jason Segel, Justin Timberlake, Lucy Punch",100290000,0,1,1,1,0,0
30,2011030,Cowboys & Aliens,"Action, Sci-Fi, Thriller",Jon Favreau,"Daniel Craig, Harrison Ford, Olivia Wilde, Abigail Spencer",100220000,1,1,2,2,0,0
31,2011031,Gnomeo & Juliet,"Animation, Comedy, Family",Kelly Asbury,"James McAvoy, Emily Blunt, Maggie Smith, Ashley Jensen",99810000,0,1,9,1,0,0
32,2011032,The Green Hornet,"Action, Comedy, Crime",Michel Gondry,"Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz",98780000,0,1,2,2,0,0
33,2011033,The Muppets,"Adventure, Comedy, Family",James Bobin,"Amy Adams, Jason Segel, Chris Cooper, Rashida Jones",88630000,0,1,38,2,6,0.066092262
34,2011034,Real Steel,"Action, Drama, Family",Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie",85460000,0,1,2,2,2,0.034618694
35,2011035,"Crazy, Stupid, Love.","Comedy, Drama, Romance","Glenn Ficarra, John Requa","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",84240000,0,1,7,7,13,0.143591111
36,2011036,Battle Los Angeles,"Action, Sci-Fi",Jonathan Liebesman,"Aaron Eckhart, Michelle Rodriguez, Bridget Moynahan, Ramon Rodriguez",83550000,0,0,0,0,0,0
37,2011037,Immortals,"Action, Drama, Fantasy",Tarsem Singh,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff",83500000,0,1,8,1,1,0.129227139
38,2011038,The Descendants,"Comedy, Drama",Alexander Payne,"George Clooney, Shailene Woodley, Amara Miller, Nick Krause",82620000,1,1,1,1,0,0
39,2011039,Zookeeper,"Comedy, Family, Romance",Frank Coraci,"Kevin James, Rosario Dawson, Leslie Bibb, Ken Jeong",80360000,0,1,8,1,3,0.016206231
40,2011040,War Horse,"Drama, War",Steven Spielberg,"Jeremy Irvine, Emily Watson, David Thewlis, Benedict Cumberbatch",79880000,1,1,2,1,3,0.098023704
41,2011041,Limitless,"Mystery, Sci-Fi, Thriller",Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro",79240000,0,1,2,2,3,0.01933815
42,2011042,Tower Heist,"Action, Comedy, Crime",Brett Ratner,"Eddie Murphy, Ben Stiller, Casey Affleck, Alan Alda",78010000,1,1,6,6,7,0.036169139
43,2011043,The Adventures of Tintin,"Animation, Action, Adventure",Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Simon Pegg",77560000,1,1,2,1,1,0.004011869
44,2011044,Contagion,"Drama, Thriller",Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow",75640000,0,1,6,6,4,0.194113905
45,2011045,We Bought a Zoo,"Comedy, Drama, Family",Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Elle Fanning",75620000,1,1,3,3,7,0.141688026
46,2011046,Moneyball,"Biography, Drama, Sport",Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",75610000,0,1,1,1,0,0
47,2011047,Jack and Jill,Comedy,Dennis Dugan,"Adam Sandler, Katie Holmes, Al Pacino, Elodie Tougne",74160000,0,1,2,2,4,0.417283383
48,2011048,Hugo,"Adventure, Drama, Family",Martin Scorsese,"Asa Butterfield, Chlo<U+00EB> Grace Moretz, Christopher Lee, Ben Kingsley",73820000,0,1,1,0,0,0
49,2011049,Dolphin Tale,"Drama, Family",Charles Martin Smith,"Morgan Freeman, Ashley Judd, Harry Connick Jr., Nathan Gamble",72280000,0,1,7,5,9,0.160788148
50,2011050,No Strings Attached,"Comedy, Romance",Ivan Reitman,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes",70630000,0,1,2,2,3,0.048988407
51,2011051,Mr. Popper's Penguins,"Comedy, Family, Fantasy",Mark Waters,"Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond",68220000,0,0,7,1,2,0.391350148
52,2011052,Happy Feet Two,"Animation, Comedy, Family","George Miller, Gary Eck, David Peers","Elijah Wood, Robin Williams, Pink, Carlos Alazraqui",63990000,0,1,7,1,0,0
53,2011053,The Adjustment Bureau,"Romance, Sci-Fi, Thriller",George Nolfi,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner",62450000,0,1,2,2,2,0.008807407
54,2011054,Unknown,"Action, Mystery, Thriller",Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn",61090000,0,1,3,3,6,0.104965926
55,2011055,Water for Elephants,"Drama, Romance",Francis Lawrence,"Robert Pattinson, Reese Witherspoon, Christoph Waltz, Paul Schneider",58700000,0,1,4,2,0,0
56,2011056,The Lincoln Lawyer,"Crime, Drama, Thriller",Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",57980000,1,1,1,1,2,0.024086053
57,2011057,Midnight in Paris,"Comedy, Fantasy, Romance",Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller",56820000,1,1,1,1,0,0
58,2011058,Friends with Benefits,"Comedy, Romance",Will Gluck,"Mila Kunis, Justin Timberlake, Patricia Clarkson, Jenna Elfman",55800000,0,1,2,2,2,0.159019231
59,2011059,I Am Number Four,"Action, Adventure, Sci-Fi",D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer",55090000,1,1,1,1,0,0
60,2011060,Source Code,"Mystery, Romance, Sci-Fi",Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright",54700000,1,1,1,1,2,0.386838279
61,2011061,New Year's Eve,"Comedy, Romance",Garry Marshall,"Sarah Jessica Parker, Jessica Biel, Ashton Kutcher, Michelle Pfeiffer",54540000,1,1,18,18,13,0.292592
62,2011062,Madea's Big Happy Family,"Comedy, Drama",Tyler Perry,"Tyler Perry, Loretta Devine, Shad Moss, Cassi Davis",53310000,0,1,15,15,19,0.187219259
63,2011063,Diary of a Wimpy Kid: Rodrick Rules,"Comedy, Family",David Bowers,"Zachary Gordon, Devon Bostick, Robert Capron, Rachael Harris",52690000,0,1,4,2,3,0.015841481
64,2011064,Footloose,"Comedy, Drama, Music",Craig Brewer,"Kenny Wormald, Julianne Hough, Dennis Quaid, Andie MacDowell",51780000,0,1,5,2,1,0.014123631
65,2011065,Ghost Rider: Spirit of Vengeance,"Action, Fantasy, Thriller","Mark Neveldine, Brian Taylor","Nicolas Cage, Ciarå¢n Hinds, Idris Elba, Violante Placido",51770000,0,1,1,1,0,0
66,2011066,The Grey,"Action, Adventure, Drama",Joe Carnahan,"Liam Neeson, Dermot Mulroney, Frank Grillo, Dallas Roberts",51530000,0,1,1,1,1,0.535371914
67,2011067,The Dilemma,"Comedy, Drama",Ron Howard,"Vince Vaughn, Kevin James, Winona Ryder, Jennifer Connelly",48430000,1,1,2,2,2,0.143468148
68,2011068,Arthur Christmas,"Animation, Adventure, Comedy","Sarah Smith, Barry Cook","James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie",46440000,0,1,13,13,2,0.011866667
69,2011069,The Best Exotic Marigold Hotel,"Comedy, Drama",John Madden,"Judi Dench, Bill Nighy, Maggie Smith, Tom Wilkinson",46380000,1,1,6,4,3,0.069632201
70,2011070,Hall Pass,"Comedy, Romance","Bobby Farrelly, Peter Farrelly","Owen Wilson, Jason Sudeikis, Christina Applegate, Jenna Fischer",45050000,1,1,3,3,3,0.106738166
71,2011071,The Artist,"Comedy, Drama, Romance",Michel Hazanavicius,"Jean Dujardin, Bå_rå_nice Bejo, John Goodman, James Cromwell",44670000,1,1,2,2,1,0.010810811
72,2011072,Soul Surfer,"Biography, Drama, Family",Sean McNamara,"AnnaSophia Robb, Dennis Quaid, Helen Hunt, Carrie Underwood",43850000,0,1,1,1,0,0
73,2011073,Final Destination 5,Horror,Steven Quale,"Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher",42580000,0,1,0,0,2,0.402133333
74,2011074,The Ides of March,Drama,George Clooney,"Paul Giamatti, George Clooney, Philip Seymour Hoffman, Ryan Gosling",40960000,0,1,1,1,1,0.283376052
75,2011075,Hanna,"Action, Drama, Thriller",Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps",40250000,1,1,1,1,0,0
76,2011076,Something Borrowed,"Comedy, Drama, Romance",Luke Greenfield,"Ginnifer Goodwin, Kate Hudson, Colin Egglesfield, John Krasinski",39030000,0,1,4,4,4,0.138312593
77,2011077,Spy Kids: All the Time in the World in 4D,"Action, Adventure, Comedy",Robert Rodriguez,"Jessica Alba, Jeremy Piven, Joel McHale, Rowan Blanchard",38540000,0,1,6,6,9,0.089528024
78,2011078,Scream 4,"Horror, Mystery",Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Lucy Hale",38180000,0,1,0,0,0,0
79,2011079,"Big Mommas: Like Father, Like Son","Action, Comedy, Crime",John Whitesell,"Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang",37910000,0,1,2,2,3,0.067333333
80,2011080,Red Riding Hood,"Fantasy, Horror, Mystery",Catherine Hardwicke,"Amanda Seyfried, Lukas Haas, Gary Oldman, Billy Burke",37650000,1,1,3,3,5,0.043014771
81,2011081,In Time,"Action, Sci-Fi, Thriller",Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde",37550000,0,1,2,2,3,0.113531381
82,2011082,Paul,"Adventure, Comedy, Sci-Fi",Greg Mottola,"Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard",37370000,0,1,1,1,1,0.017925926
83,2011083,J. Edgar,"Biography, Crime, Drama",Clint Eastwood,"Leonardo DiCaprio, Armie Hammer, Naomi Watts, Josh Hamilton",37300000,0,1,1,1,0,0
84,2011084,The Roommate,"Drama, Horror, Thriller",Christian E. Christiansen,"Minka Kelly, Leighton Meester, Cam Gigandet, Aly Michalka",37300000,0,1,1,1,3,0.019919881
85,2011085,Jumping the Broom,"Comedy, Drama",Salim Akil,"Paula Patton, Laz Alonso, Angela Bassett, Loretta Devine",37300000,0,1,8,8,10,0.081655786
86,2011086,30 Minutes or Less,"Action, Comedy, Crime",Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Nick Swardson, Aziz Ansari",37050000,0,1,4,4,4,0.045829021
87,2011087,The Change-Up,"Comedy, Fantasy",David Dobkin,"Jason Bateman, Ryan Reynolds, Olivia Wilde, Leslie Mann",37040000,1,1,5,5,4,0.067301187
88,2011088,Colombiana,"Action, Crime, Drama",Olivier Megaton,"Zoe Saldana, Michael Vartan, Callum Blue, Jordi Mollå_",36670000,0,1,1,1,1,0.005149408
89,2011089,Sucker Punch,"Action, Fantasy",Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone",36380000,1,1,5,5,1,0.01225
90,2011090,Larry Crowne,"Comedy, Drama, Romance",Tom Hanks,"Tom Hanks, Julia Roberts, Sarah Mahoney, Roxana Ortega",35570000,0,1,24,2,4,0.048544164
91,2011091,Drive,"Crime, Drama",Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",35050000,1,1,1,1,0,0
92,2011092,A Very Harold & Kumar 3D Christmas,"Adventure, Comedy",Todd Strauss-Schulson,"Kal Penn, John Cho, Neil Patrick Harris, Patton Oswalt",35030000,0,1,5,3,5,0.04692
93,2011093,50/50,"Comedy, Drama, Romance",Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard",34960000,0,1,2,2,2,0.250838279
94,2011094,Courageous,Drama,Alex Kendrick,"Alex Kendrick, Ken Bevel, Kevin Downes, Renee Jewell",34520000,1,1,13,4,3,0.014463343
95,2011095,The Rite,"Drama, Horror, Mystery",Mikael H<U+00E5>fstr<U+00F6>m,"Colin O'Donoghue, Anthony Hopkins, Ciarå¢n Hinds, Alice Braga",33040000,0,1,1,1,1,0.444894815
96,2011096,Arthur,"Comedy, Romance",Jason Winer,"Russell Brand, Helen Mirren, Jennifer Garner, Greta Gerwig",33020000,0,1,3,3,8,0.102285926
97,2011097,Extremely Loud & Incredibly Close,"Adventure, Drama, Mystery",Stephen Daldry,"Thomas Horn, Tom Hanks, Sandra Bullock, Max von Sydow",31840000,1,1,1,1,1,0.489814815
98,2011098,The Sitter,Comedy,David Gordon Green,"Jonah Hill, Ari Graynor, Sam Rockwell, Max Records",30540000,0,1,4,1,8,0.073826409
99,2011099,The Iron Lady,"Biography, Drama",Phyllida Lloyd,"Meryl Streep, Jim Broadbent, Richard E. Grant, Susan Brown",29960000,0,1,1,1,2,0.132002686
100,2011100,Priest,"Action, Fantasy, Horror",Scott Stewart,"Paul Bettany, Cam Gigandet, Maggie Q, Karl Urban",29140000,0,1,1,0,0,0
101,2011101,The Mechanic,"Action, Crime, Thriller",Simon West,"Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn",29110000,0,1,0,0,0,0
102,2011102,Abduction,"Action, Mystery, Thriller",John Singleton,"Taylor Lautner, Lily Collins, Alfred Molina, Jake Andolina",28060000,0,1,1,1,1,0.015436202
103,2011103,Beastly,"Drama, Fantasy, Romance",Daniel Barnz,"Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen, Justin Bradley",27850000,0,1,2,2,0,0
104,2011104,Winnie the Pooh,"Animation, Adventure, Comedy","Stephen J. Anderson, Don Hall","Jim Cummings, Craig Ferguson, John Cleese, Bud Luckey",26690000,0,1,8,8,1,0.005520772
105,2011105,Killer Elite,"Action, Crime, Thriller",Gary McKendry,"Jason Statham, Clive Owen, Robert De Niro, Dominic Purcell",25090000,0,1,3,3,3,0.115605926
106,2011106,Season of the Witch,"Action, Adventure, Fantasy",Dominic Sena,"Nicolas Cage, Ron Perlman, Claire Foy, Stephen Campbell Moore",24820000,0,1,2,2,3,0.184985185
107,2011107,Our Idiot Brother,"Comedy, Drama",Jesse Peretz,"Paul Rudd, Elizabeth Banks, Zooey Deschanel, Nick Sullivan",24810000,0,1,1,1,2,0.020683976
108,2011108,Tinker Tailor Soldier Spy,"Drama, Mystery, Thriller",Tomas Alfredson,"Gary Oldman, Colin Firth, Tom Hardy, Mark Strong",24100000,0,1,1,1,0,0
109,2011109,Monte Carlo,"Adventure, Comedy, Family",Thomas Bezucha,"Selena Gomez, Leighton Meester, Katie Cassidy, Cory Monteith",23180000,0,1,3,3,7,0.094826667
110,2011110,Sanctum,"Adventure, Drama, Thriller",Alister Grierson,"Rhys Wakefield, Allison Cratchley, Christopher James Baker, Richard Roxburgh",23070000,0,1,1,1,0,0
111,2011111,Your Highness,"Adventure, Comedy, Fantasy",David Gordon Green,"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker",21560000,1,1,3,3,4,0.043074074
112,2011112,The Darkest Hour,"Action, Adventure, Horror",Chris Gorak,"Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor",21430000,0,1,0,0,1,0.024689911
113,2011113,Mars Needs Moms,"Animation, Adventure, Family",Simon Wells,"Seth Green, Joan Cusack, Dan Fogler, Elisabeth Harnois",21380000,0,1,0,0,0,0
114,2011114,Dream House,"Drama, Mystery, Thriller",Jim Sheridan,"Daniel Craig, Rachel Weisz, Naomi Watts, Elias Koteas",21280000,0,1,1,0,0,0
115,2011115,Conan the Barbarian,"Action, Adventure, Fantasy",Marcus Nispel,"Jason Momoa, Ron Perlman, Rose McGowan, Stephen Lang",21270000,0,1,4,4,5,0.055197329
116,2011116,The Three Musketeers,"Action, Adventure, Romance",Paul W.S. Anderson,"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich",20320000,0,1,8,8,13,0.139126113
117,2011117,The Eagle,"Action, Adventure, Drama",Kevin Macdonald,"Channing Tatum, Jamie Bell, Donald Sutherland, Istvå¢n G<U+00F6>z",19480000,0,1,2,2,1,0.032939169
118,2011118,Haywire,"Action, Thriller",Steven Soderbergh,"Gina Carano, Ewan McGregor, Michael Fassbender, Michael Angarano",18930000,0,1,8,8,6,0.080784689
119,2011119,Shark Night 3D,"Horror, Thriller",David R. Ellis,"Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee",18860000,1,1,2,0,4,0.04305625
120,2011120,You're Next,"Horror, Thriller",Adam Wingard,"Sharni Vinson, Joe Swanberg, AJ Bowen, Nicholas Tucci",18470000,0,1,1,0,4,0.042524691
121,2011121,Fright Night,"Comedy, Horror",Craig Gillespie,"Anton Yelchin, Colin Farrell, David Tennant, Toni Collette",18300000,0,1,2,1,0,0
122,2011122,Apollo 18,"Horror, Mystery, Sci-Fi",Gonzalo LåÂpez-Gallego,"Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa",17680000,0,1,1,0,0,0
123,2011123,The Thing,"Horror, Mystery, Sci-Fi",Matthijs van Heijningen Jr.,"Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen",16910000,0,1,0,0,0,0
124,2011124,Young Adult,"Comedy, Drama",Jason Reitman,"Charlize Theron, Patrick Wilson, Patton Oswalt, Elizabeth Reaser",16300000,1,1,2,1,3,0.097379688
125,2011125,Judy Moody and the Not Bummer Summer,"Comedy, Family",John Schultz,"Jordana Beatty, Heather Graham, Parris Mosteller, Janet Varney",1.50E+07,0,1,3,3,4,0.08955638
126,2011126,My Week with Marilyn,"Biography, Drama",Simon Curtis,"Michelle Williams, Eddie Redmayne, Kenneth Branagh, Julia Ormond",14600000,0,1,1,1,2,0.346188148
127,2011127,What's Your Number?,"Comedy, Romance",Mark Mylod,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner",13990000,0,1,1,1,1,0.00432
128,2011128,One Day,"Drama, Romance",Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison",13770000,0,1,2,2,1,0.003847633
129,2011129,Warrior,"Drama, Sport",Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",13650000,1,1,2,2,5,0.153677469
130,2011130,The Tree of Life,"Drama, Fantasy",Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",13300000,1,1,31,0,1,0.004584906
131,2011131,The Intouchables,"Biography, Comedy, Drama","Olivier Nakache, Eric Toledano","Fran<U+00E7>ois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",13180000,0,1,2,2,0,0
132,2011132,The Rum Diary,"Comedy, Drama",Bruce Robinson,"Johnny Depp, Giovanni Ribisi, Aaron Eckhart, Michael Rispoli",13100000,0,1,1,1,0,0
133,2011133,Silent House,"Adventure, Drama, Horror","Chris Kentis, Laura Lau","Elizabeth Olsen, Adam Trese, Eric Sheffer Stevens, Julia Taylor Ross",12560000,0,1,1,1,0,0
134,2011134,Jane Eyre,"Drama, Romance",Cary Joji Fukunaga,"Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot",11230000,0,1,2,2,0,0
135,2011135,Drive Angry,"Action, Fantasy, Thriller",Patrick Lussier,"Nicolas Cage, Amber Heard, William Fichtner, Billy Burke",10710000,0,1,2,2,3,0.079023704
136,2011136,Straw Dogs,"Action, Drama, Thriller",Rod Lurie,"James Marsden, Kate Bosworth, Alexander Skarsg<U+00E5>rd, James Woods",10320000,0,1,2,1,1,0.056416914
137,2011137,Win Win,"Comedy, Drama, Sport",Tom McCarthy,"Paul Giamatti, Amy Ryan, Jeffrey Tambor, Bobby Cannavale",10180000,0,1,2,2,3,0.015752976
138,2011138,Hoodwinked Too! Hood vs. Evil,"Animation, Action, Comedy",Mike Disa,"Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack",10130000,0,1,7,7,2,0.050727407
139,2011139,Prom,"Comedy, Drama",Joe Nussbaum,"Aimee Teegarden, Thomas McDonell, DeVaughn Nixon, Danielle Campbell",10110000,0,1,37,0,0,0
140,2011140,I Don't Know How She Does It,"Comedy, Romance",Douglas McGrath,"Sarah Jessica Parker, Pierce Brosnan, Kelsey Grammer, Greg Kinnear",9640000,0,1,1,1,1,0.034278932
141,2011141,Bernie,"Comedy, Crime, Drama",Richard Linklater,"Jack Black, Shirley MacLaine, Matthew McConaughey, Brady Coleman",9200000,1,1,3,3,1,0.025074184
142,2011142,Salmon Fishing in the Yemen,"Comedy, Drama, Romance",Lasse Hallstr<U+00F6>m,"Ewan McGregor, Emily Blunt, Amr Waked, Kristin Scott Thomas",9030000,1,1,2,2,0,0
143,2011143,Johnny English Reborn,"Action, Adventure, Comedy",Oliver Parker,"Rowan Atkinson, Rosamund Pike, Dominic West, Roger Barclay",8130000,0,1,1,1,2,0.066034074
144,2011144,Friends with Kids,"Comedy, Drama, Romance",Jennifer Westfeldt,"Jennifer Westfeldt, Adam Scott, Maya Rudolph, Chris O'Dowd",7250000,0,1,6,6,12,0.130238489
145,2011145,The Big Year,Comedy,David Frankel,"Owen Wilson, Jack Black, Steve Martin, John Cleese",7200000,1,1,4,3,0,0
146,2011146,Jodaeiye Nader az Simin,"Drama, Mystery",Asghar Farhadi,"Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",7100000,0,1,2,2,1,0.225667656
147,2011147,Take Me Home Tonight,"Comedy, Drama, Romance",Michael Dowse,"Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer",6920000,0,1,4,4,7,0.267322917
148,2011148,Cedar Rapids,Comedy,Miguel Arteta,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.",6860000,0,1,1,1,2,0.014196402
149,2011149,From Up on Poppy Hill,"Animation, Drama, Family",Gor<U+00F4> Miyazaki,"Sarah Bolger, Chris Noth, Anton Yelchin, Christina Hendricks",1.00E+06,0,1,2,2,0,0
150,2011150,A Dangerous Method,"Biography, Drama, Romance",David Cronenberg,"Michael Fassbender, Keira Knightley, Viggo Mortensen, Vincent Cassel",5700000,1,1,3,3,4,0.296735513
151,2011151,The Guard,"Comedy, Crime, Thriller",John Michael McDonagh,"Brendan Gleeson, Don Cheadle, Mark Strong, Ronan Collins",5360000,0,1,2,2,3,0.07049037
152,2011152,October Baby,Drama,"Andrew Erwin, Jon Erwin","Rachel Hendrix, Jason Burkey, John Schneider, Jasmine Guy",5360000,0,1,3,3,3,0.057016296
