,id,header,genre,director,star,gross,director,company,# of faces/characters,# of main recognizable stars,num_face_machine,face_poster_proportion
1,2011001,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",380960000,0,1,3,3,4,0.033884444
2,2011002,Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi",Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",352360000,0,1,3,3,1,0.00420509
3,2011003,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham",281280000,0,1,2,2,3,0.213307122
4,2011004,The Hangover Part II,"Comedy, Mystery",Todd Phillips,"Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha",254460000,0,1,4,4,0,0
5,2011005,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",Rob Marshall,"Johnny Depp, Penå_lope Cruz, Ian McShane, Geoffrey Rush",241060000,0,1,4,4,7,0.121171852
6,2011006,Fast Five,"Action, Crime, Thriller",Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",209810000,0,1,11,3,1,0.004161481
7,2011007,Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",209360000,0,1,4,4,8,0.08197037
8,2011008,Cars 2,"Animation, Adventure, Comedy","John Lasseter, Brad Lewis","Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer",191450000,0,1,4,4,0,0
9,2011009,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Crime",Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",186830000,0,1,2,2,2,0.008664688
10,2011010,Thor,"Action, Adventure, Fantasy",Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",181020000,0,1,1,1,1,0.282041543
11,2011011,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",176740000,0,0,1,1,0,0
12,2011012,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",Joe Johnston,"Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell",176640000,0,1,1,1,1,0.01155625
13,2011013,The Help,Drama,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",169710000,0,1,4,4,3,0.013799703
14,2011014,Bridesmaids,"Comedy, Romance",Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews",169080000,0,1,6,6,8,0.102891852
15,2011015,Kung Fu Panda 2,"Animation, Action, Adventure",Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman",165230000,0,1,1,1,0,0
16,2011016,Puss in Boots,"Animation, Action, Adventure",Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",149230000,0,1,1,1,2,0.011082813
17,2011017,X: First Class,"Action, Adventure, Sci-Fi",Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",146410000,0,1,10,4,3,0.015029166
18,2011018,Rio,"Animation, Adventure, Comedy",Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez, Karen Disher",143620000,0,1,9,9,1,0.073121662
19,2011019,The Smurfs,"Animation, Adventure, Comedy",Raja Gosnell,"Hank Azaria, Katy Perry, Jonathan Winters, Neil Patrick Harris",142610000,0,1,10,4,5,0.037841317
20,2011020,Alvin and the Chipmunks: Chipwrecked,"Animation, Adventure, Comedy",Mike Mitchell,"Justin Long, Jesse McCartney, Jason Lee, David Cross",133100000,0,0,3,3,1,0.006259259
